Code,Title
EF_15,Earthworks and remediation 
EF_15_10,Groundworks and earthworks
EF_15_30,"Remediation, repair and renovation"
EF_20,Structural elements
EF_20_05,Substructure
EF_20_05_30,Foundations
EF_20_10,Superstructure
EF_20_10_15,Composite structures
EF_20_10_30,Framed structures
EF_20_10_50,Membrane structures
EF_20_10_75,Shell structures
EF_20_10_80,Solid structures
EF_20_50,Bridge structures
EF_20_50_01,Abutments
EF_20_50_07,Bearings
EF_20_50_10,Bridge decks
EF_20_50_64,Piers
EF_20_50_82,Span
EF_25,Wall and barrier elements
EF_25_10,Walls
EF_25_30,Doors and windows
EF_25_55,Barriers
EF_30,"Roofs, floor and paving elements"
EF_30_10,Roofs
EF_30_20,Floors
EF_30_25,Ceilings and soffits
EF_30_30,Decks
EF_30_60,Pavements
EF_30_60_60,Pedestrian paving
EF_30_60_95,Vehicular paving
EF_35,Stairs and ramps
EF_35_10,Stairs
EF_35_10_30,External stairs
EF_35_10_40,Internal stairs
EF_35_20,Ramps
EF_35_20_30,External ramps
EF_35_20_40,Internal ramps
EF_37,"Tunnel, vessel and tower elements"
EF_37_16,Vessels and trenches
EF_37_16_90,Trenches
EF_37_16_94,Vessels
EF_37_17,"Towers, chimneys and masts"
EF_37_17_15,Chimneys
EF_37_17_35,Gantries
EF_37_17_50,Masts
EF_37_17_70,Pylons
EF_37_17_90,Towers
EF_37_50,Tunnels and shafts
EF_40,"Signage, fittings, furnishings and equipment"
EF_40_10,Signage
EF_40_20,Fittings
EF_40_30,Furnishings
EF_40_40,Equipment
EF_45,Flora and fauna elements
EF_45_03,Aquatic fauna elements
EF_45_05,Aquatic flora elements
EF_45_20,Grass and meadow elements
EF_45_45,Land fauna elements
EF_45_90,"Tree, shrub and herbaceous plant elements"
EF_50,Waste disposal functions
EF_50_10,Gas waste collection
EF_50_20,Wet waste collection
EF_50_30,Above-ground drainage collection
EF_50_35,Below-ground drainage collection
EF_50_40,Dry waste collection
EF_50_50,Gas waste treatment and disposal
EF_50_60,Wet waste treatment and disposal
EF_50_70,Drainage treatment and disposal
EF_50_75,Wastewater treatment and disposal
EF_50_80,Dry waste treatment and disposal
EF_55,Piped supply functions
EF_55_05,Gas extraction and treatment
EF_55_10,Liquid fuel extraction and treatment
EF_55_15,Water extraction and treatment
EF_55_20,Gas supply
EF_55_30,Fire-extinguishing supply
EF_55_40,Steam supply
EF_55_50,Liquid fuel supply
EF_55_60,Process liquid supply
EF_55_70,Water supply
EF_55_90,Piped solids supply
EF_60,"Heating, cooling and refrigeration functions"
EF_60_30,Rail and paving heating
EF_60_40,Space heating and cooling
EF_60_60,Refrigeration
EF_60_80,Drying
EF_65,Ventilation and air conditioning functions
EF_65_40,Ventilation
EF_65_80,Air conditioning
EF_70,Electrical power and lighting functions
EF_70_10,Electrical power generation
EF_70_30,Electricity distribution and transmission
EF_70_80,Lighting
EF_75,"Communications, security, safety and protection functions"
EF_75_10,Communication
EF_75_30,Signalling
EF_75_40,Security
EF_75_50,Safety and protection
EF_75_60,Environmental safety
EF_75_70,Control and management
EF_75_80,Protection
EF_80,Transport functions
EF_80_10,Cable transport
EF_80_20,Conveyors
EF_80_30,Cranes and hoists
EF_80_50,Lifts
EF_80_70,Rail tracks
