Code,Title,fo_dictionary_id
EF_15,Earthworks and remediation,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_15_10,Groundworks and earthworks,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_15_30,"Remediation, repair and renovation","97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_20,Structural elements,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_20_05,Substructure,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_20_05_30,Foundations,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_20_10,Superstructure,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_20_10_15,Composite structures,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_20_10_30,Framed structures,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_20_10_50,Membrane structures,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_20_10_75,Shell structures,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_20_10_80,Solid structures,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_20_50,Bridge structures,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_20_50_01,Abutments,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_20_50_07,Bearings,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_20_50_10,Bridge decks,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_20_50_64,Piers,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_20_50_82,Span,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_25,Wall and barrier elements,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_25_10,Walls,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_25_30,Doors and windows,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_25_55,Barriers,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_30,"Roofs, floor and paving elements","97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_30_10,Roofs,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_30_20,Floors,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_30_25,Ceilings and soffits,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_30_30,Decks,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_30_60,Pavements,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_30_60_60,Pedestrian paving,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_30_60_95,Vehicular paving,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_35,Stairs and ramps,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_35_10,Stairs,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_35_10_30,External stairs,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_35_10_40,Internal stairs,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_35_20,Ramps,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_35_20_30,External ramps,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_35_20_40,Internal ramps,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_37,"Tunnel, vessel and tower elements","97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_37_16,Vessels and trenches,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_37_16_90,Trenches,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_37_16_94,Vessels,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_37_17,"Towers, chimneys and masts","97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_37_17_15,Chimneys,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_37_17_35,Gantries,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_37_17_50,Masts,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_37_17_70,Pylons,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_37_17_90,Towers,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_37_50,Tunnels and shafts,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_40,"Signage, fittings, furnishings and equipment","97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_40_10,Signage,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_40_20,Fittings,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_40_30,Furnishings,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_40_40,Equipment,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_45,Flora and fauna elements,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_45_03,Aquatic fauna elements,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_45_05,Aquatic flora elements,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_45_20,Grass and meadow elements,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_45_45,Land fauna elements,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_45_90,"Tree, shrub and herbaceous plant elements","97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_50,Waste disposal functions,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_50_10,Gas waste collection,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_50_20,Wet waste collection,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_50_30,Above-ground drainage collection,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_50_35,Below-ground drainage collection,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_50_40,Dry waste collection,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_50_50,Gas waste treatment and disposal,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_50_60,Wet waste treatment and disposal,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_50_70,Drainage treatment and disposal,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_50_75,Wastewater treatment and disposal,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_50_80,Dry waste treatment and disposal,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_55,Piped supply functions,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_55_05,Gas extraction and treatment,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_55_10,Liquid fuel extraction and treatment,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_55_15,Water extraction and treatment,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_55_20,Gas supply,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_55_30,Fire-extinguishing supply,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_55_40,Steam supply,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_55_50,Liquid fuel supply,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_55_60,Process liquid supply,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_55_70,Water supply,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_55_90,Piped solids supply,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_60,"Heating, cooling and refrigeration functions","97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_60_30,Rail and paving heating,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_60_40,Space heating and cooling,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_60_60,Refrigeration,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_60_80,Drying,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_65,Ventilation and air conditioning functions,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_65_40,Ventilation,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_65_80,Air conditioning,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_70,Electrical power and lighting functions,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_70_10,Electrical power generation,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_70_30,Electricity distribution and transmission,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_70_80,Lighting,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_75,"Communications, security, safety and protection functions","97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_75_10,Communication,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_75_30,Signalling,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_75_40,Security,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_75_50,Safety and protection,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_75_60,Environmental safety,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_75_70,Control and management,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_75_80,Protection,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_80,Transport functions,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_80_10,Cable transport,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_80_20,Conveyors,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_80_30,Cranes and hoists,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_80_50,Lifts,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
EF_80_70,Rail tracks,"97ee7a74-e8c7-11ec-8fea-0242ac120002"
