Code,Title
Ss_15,"Earthworks, remediation and temporary systems"
Ss_15_10,Groundworks and earthworks systems
Ss_15_10_30,"Excavating, filling and erosion control systems"
Ss_15_10_30_05,Backfill systems
Ss_15_10_30_25,Earthworks excavating systems
Ss_15_10_30_27,Earthworks filling systems
Ss_15_10_30_29,Earthworks filling systems around trees
Ss_15_10_30_31,Earthworks filling systems behind retaining walls
Ss_15_10_30_33,Erosion control systems
Ss_15_10_30_65,Puddled clay lining systems
Ss_15_10_30_90,Topsoil filling systems
Ss_15_10_33,Ground gas disposal systems
Ss_15_10_33_34,Ground gas collection and venting systems
Ss_15_10_35,Ground remediation systems
Ss_15_10_35_07,Bioremediation systems
Ss_15_10_35_23,Deep dry soil mixing systems
Ss_15_10_35_25,Dynamic deep compaction systems
Ss_15_10_35_92,Vibro-compaction systems
Ss_15_10_35_94,Vibro-stone column systems
Ss_15_10_35_97,Wet soil mixing systems
Ss_15_10_45,Landfill systems
Ss_15_10_76,Site waste disposal systems
Ss_15_10_76_21,Dewatering systems
Ss_15_10_78,Slurry wall systems
Ss_15_10_80,Stabilization systems
Ss_15_10_80_15,Concrete column stabilization systems
Ss_15_10_80_70,Rock bolting and dowelling systems
Ss_15_10_80_75,Rock fissure grouting systems
Ss_15_10_80_80,Soil nailing systems
Ss_15_10_80_85,Subterranean void filling systems
Ss_15_30,"Remediation, repair and renovation systems"
Ss_15_30_10,Building services remediation systems
Ss_15_30_12,Ceramics repair and renovation systems
Ss_15_30_15,Concrete and masonry cleaning systems
Ss_15_30_15_15,Concrete cleaning systems
Ss_15_30_15_50,Masonry cleaning systems
Ss_15_30_15_65,Preliminary concrete cleaning systems
Ss_15_30_15_66,Preliminary masonry cleaning systems
Ss_15_30_17,Concrete repair and renovation systems
Ss_15_30_17_10,Bonded steel plate repair systems
Ss_15_30_17_12,Concrete crack repair or filling systems
Ss_15_30_17_14,Concrete mortar or overlay systems
Ss_15_30_17_16,Concrete protective coating systems
Ss_15_30_17_18,Concrete repair systems
Ss_15_30_17_85,Sprayed concrete repair systems
Ss_15_30_32,Fungus and beetle eradication systems
Ss_15_30_32_05,Beetle eradication systems
Ss_15_30_32_15,Combined fungus and beetle treatment systems
Ss_15_30_32_35,Hot air infestation treatment systems
Ss_15_30_32_50,Masonry fungus treatment systems
Ss_15_30_32_85,Termite treatment systems
Ss_15_30_32_90,Timber fungus treatment systems
Ss_15_30_33,Glass repair and renovation systems
Ss_15_30_50,Masonry repair and renovation systems
Ss_15_30_50_50,Masonry repair systems
Ss_15_30_50_53,Mortar joint repair systems
Ss_15_30_50_55,Mortar repointing systems
Ss_15_30_52,Metal repair and renovation systems
Ss_15_30_52_03,Aluminium repair systems
Ss_15_30_52_15,Copper repair systems
Ss_15_30_52_42,Iron repair systems
Ss_15_30_52_46,Lead repair systems
Ss_15_30_52_84,Steel repair systems
Ss_15_30_65,Pipeline renovation systems
Ss_15_30_65_15,Close-fit plastics pipe lining systems
Ss_15_30_65_17,Continuous plastics pipe lining systems
Ss_15_30_65_20,Cured in place lining systems
Ss_15_30_65_65,Preformed lining systems
Ss_15_30_65_72,Rigidly anchored plastics inner layer (RAPL) lining systems
Ss_15_30_65_80,Spray lining systems
Ss_15_30_65_81,Spirally wound plastics pipe lining systems
Ss_15_30_90,Timber repair and renovation systems
Ss_15_30_90_84,Timber joint strengthening systems
Ss_15_30_90_86,Timber section repair systems
Ss_15_30_90_90,Timber section strengthening systems
Ss_15_95,Temporary works systems
Ss_15_95_15,Temporary preparatory works systems
Ss_15_95_15_10,Borehole systems
Ss_15_95_17,Temporary protection systems
Ss_15_95_17_90,Temporary backfill systems
Ss_15_95_20,Temporary whole entity structural works systems
Ss_15_95_20_30,Flying shores systems
Ss_15_95_20_32,Framed retention structure systems
Ss_15_95_20_70,Raking shores systems
Ss_15_95_20_72,Retention structure systems
Ss_15_95_20_75,Scaffold retention structure systems
Ss_15_95_20_87,Thrust pit systems
Ss_15_95_25,Temporary wall and barrier works systems
Ss_15_95_30,"Temporary roof, floor and paving works systems"
Ss_15_95_32,Temporary water and land management systems
Ss_15_95_32_85,Sedimentation ponds
Ss_15_95_35,"Temporary fixed access, tunnel, shaft, vessel and tower works systems"
Ss_15_95_40,"Temporary signage and fittings, furnishings and equipment (FF&E) works systems"
Ss_15_95_45,Temporary flora and fauna systems
Ss_15_95_45_42,Intercropping systems
Ss_15_95_45_85,Spoil heap temporary crop systems
Ss_15_95_45_90,Topsoil heap temporary crop systems
Ss_15_95_55,Temporary piped supply works systems
Ss_15_95_55_90,Tunnelling compressed air systems
Ss_15_95_60,"Temporary heating, cooling and refrigeration works systems"
Ss_15_95_65,Temporary ventilation and air conditioning works systems
Ss_15_95_70,Temporary electrical works systems
Ss_15_95_75,"Temporary communications, security, safety, control and protection works systems"
Ss_15_95_80,Temporary pavement works systems
Ss_15_95_80_02,Temporary access road systems
Ss_15_95_80_72,Temporary roadwork systems
Ss_15_95_85,Temporary process engineering works systems
Ss_15_95_90,Temporary soft facility management works services
Ss_20,Structural systems
Ss_20_05,Substructure systems
Ss_20_05_15,Concrete foundation systems
Ss_20_05_15_65,Precast concrete pad and strip foundation systems
Ss_20_05_15_70,Reinforced concrete pad and strip foundation systems
Ss_20_05_15_71,Reinforced concrete pilecap and ground beam foundation systems
Ss_20_05_15_72,Reinforced concrete raft foundation systems
Ss_20_05_15_80,Steel ground beam foundation systems
Ss_20_05_15_90,Unreinforced concrete foundation systems for cast-in products
Ss_20_05_15_91,Unreinforced concrete pad and strip foundation systems
Ss_20_05_15_92,Unreinforced concrete trench fill foundation systems
Ss_20_05_50,Minor concrete substructure systems
Ss_20_05_50_15,Concrete haunching systems
Ss_20_05_50_65,Precast concrete foundation and plinth systems
Ss_20_05_50_70,Reinforced concrete base or foundation systems
Ss_20_05_50_92,Unreinforced concrete foundation with cast-in products systems
Ss_20_05_50_93,Unreinforced concrete foundation and plinth systems
Ss_20_05_65,Piling systems
Ss_20_05_65_24,Driven precast or prestressed concrete piling systems
Ss_20_05_65_40,In situ concrete augered piling systems
Ss_20_05_65_41,In situ concrete bored piling systems
Ss_20_05_65_42,In situ concrete cased displacement piling systems
Ss_20_05_65_43,In situ concrete displacement piling systems
Ss_20_05_65_44,In situ concrete mini-piling or micro-piling systems
Ss_20_05_65_64,Plunge column piling systems
Ss_20_05_65_76,Screw piling systems
Ss_20_05_65_84,Steel bearing pile systems
Ss_20_05_65_89,Timber piling systems
Ss_20_05_80,Structural grouting systems
Ss_20_05_80_12,Cementitious grout systems
Ss_20_05_80_40,Interstitial grouting systems
Ss_20_05_80_57,Non-cementitious grout systems
Ss_20_05_80_71,Retaining wall cementitious grout systems
Ss_20_05_80_73,Retaining wall self-hardening slurry systems
Ss_20_05_80_80,Soil nailing cementitious grout systems
Ss_20_05_90,Underpinning systems
Ss_20_05_90_10,Beam and pier unreinforced concrete underpinning systems
Ss_20_05_90_35,Grouted underpinning systems
Ss_20_05_90_45,Jacked pile underpinning systems
Ss_20_05_90_46,Jet grouted underpinning systems
Ss_20_05_90_50,Mass concrete underpinning systems
Ss_20_05_90_60,Pile and cantilever support underpinning systems
Ss_20_05_90_61,Pile and needle underpinning systems
Ss_20_05_90_70,Raking pile underpinning systems
Ss_20_10,Structural frame systems
Ss_20_10_30,Complete bridge structure systems
Ss_20_10_30_30,Footbridge systems
Ss_20_10_30_65,Pipe bridge systems
Ss_20_10_60,Prefabricated framed and panelled structures
Ss_20_10_60_33,Geodesic dome systems
Ss_20_10_60_34,Glazed enclosure systems
Ss_20_10_60_50,Modular pod systems
Ss_20_10_60_60,Panelled and framed modular systems
Ss_20_10_60_84,Structural insulated panel systems
Ss_20_10_60_95,Volumetric modular systems
Ss_20_10_65,Prefabricated room systems
Ss_20_10_65_15,Composite pods
Ss_20_10_65_17,Concrete pods
Ss_20_10_65_65,Polypropylene pods
Ss_20_10_70,Shelter systems
Ss_20_10_70_03,Animal shelter systems
Ss_20_10_70_62,People shelter systems
Ss_20_10_70_64,Plant shelter systems
Ss_20_10_70_84,Storage shelter systems
Ss_20_10_75,Structural framing systems
Ss_20_10_75_35,Heavy steel framing systems
Ss_20_10_75_45,Light steel framing systems
Ss_20_10_75_65,Precast reinforced concrete framing systems
Ss_20_10_75_70,Reinforced concrete framing systems
Ss_20_10_75_85,Timber framing systems
Ss_20_20,Structural beams
Ss_20_20_75,Structural beam systems
Ss_20_20_75_35,Heavy steel beam systems
Ss_20_20_75_45,Light steel beam systems
Ss_20_20_75_65,Precast reinforced concrete beam systems
Ss_20_20_75_70,Reinforced concrete beam systems
Ss_20_20_75_85,Timber beam systems
Ss_20_30,Structural columns
Ss_20_30_75,Structural column systems
Ss_20_30_75_35,Heavy steel column systems
Ss_20_30_75_45,Light steel column systems
Ss_20_30_75_50,Masonry column systems
